_id,service_name,sequence,name_mm,road_mm,the_geom
648,10,22,အသင်းတိုက်,လေးထောင့်ကန်လမ်း,0101000020E610000040A54A94BD0B5840ECDFF599B3D23040
649,10,23,ခပ်ချီးယား,လေးထောင့်ကန်လမ်း,0101000020E6100000CC09DAE4F00B58406C43C5387FD33040
650,10,24,ဇဝန,လေးထောင့်ကန်လမ်း,0101000020E61000000307B474050C5840B894F3C5DED33040
651,10,25,သရက်တော,သုမင်္ဂလာလမ်း,0101000020E61000000890A163070C58403A07CF8426D53040
652,10,26,အောင်ရတနာ,သုမင်္ဂလာလမ်း,0101000020E6100000378C82E0F10B5840CE37A27BD6D53040
653,10,27,(၁၄/၁၅) လမ်းဆုံ,သုမင်္ဂလာလမ်း,0101000020E6100000207BBDFBE30B58409B1C3EE944D63040
654,10,28,ပဒေသာ,သုမင်္ဂလာလမ်း,0101000020E6100000B98B3045B90B58401D554D1075D73040
655,10,29,ရုံးရှေ့,သုမင်္ဂလာလမ်း,0101000020E61000000536E7E0990B58409221C7D633D83040
656,10,30,တောင်ဥက္ကလာစာတိုက်,သုမင်္ဂလာလမ်း,0101000020E6100000D122DBF97E0B5840FA97A432C5D83040
657,10,31,အင်းဝ,သုမင်္ဂလာလမ်း,0101000020E6100000AB3FC230600B58405F950B957FD93040
658,10,32,နန္ဒဝန်ဈေး,သုမင်္ဂလာလမ်း,0101000020E610000066F50EB7430B584023F94A2025DA3040
659,10,33,တကောင်း,သုမင်္ဂလာလမ်း,0101000020E6100000103D29931A0B58407BF7C77BD5DA3040
660,10,34,ကေတုမာလာကွေ့,ပါရမီလမ်း,0101000020E61000009A0645F3000B584094A3005130DB3040
661,10,35,ညောင်ပင်,ပါရမီလမ်း,0101000020E610000041102043C70A5840111E6D1CB1DA3040
662,10,36,မဉ္ဇူလမ်း,ပါရမီလမ်း,0101000020E610000093E34EE9600A5840A33CF372D8D93040
663,10,37,ချော်တွင်းကုန်း,ကမ္ဘာအေးဘုရားလမ်း,0101000020E61000006519E258170A58409FCA694FC9D93040
664,10,38,ကမ္ဘာအေးဘုရားလမ်း,ကမ္ဘာအေးဘုရားလမ်း,0101000020E610000080F44D9A060A58404ED367075CDB3040
665,10,40,စာတိုက်,ကမ္ဘာအေးဘုရားလမ်း,0101000020E6100000433A3C84F1095840766EDA8CD3DC3040
666,10,41,လမ်းဝ/နဝဒေး,သုဓမ္မာလမ်း,0101000020E6100000FA08FCE1E7095840AAD5575705DE3040
667,10,42,(၅) လမ်း,သုဓမ္မာလမ်း,0101000020E61000004ED4D2DC0A0A5840948444DAC6DF3040
668,10,43,(၂) ဈေး,သုဓမ္မာလမ်း,0101000020E6100000A702EE79FE09584046990D32C9E03040
669,10,44,ဘုန်းကြီးလမ်း,သုဓမ္မာလမ်း,0101000020E61000004D4C1762F509584065E3C116BBE13040
670,10,45,ကျောက်ရေတွင်း,သုဓမ္မာလမ်း,0101000020E6100000F8359204E109584095EEAEB321E33040
671,10,46,မြောက်ဥက္ကလာအဝိုင်း,သုဓမ္မာလမ်း,0101000020E610000045BC75FEED09584097A949F086E43040
672,10,47,ဂိတ်ဟောင်း,စက်မှုဇုန်လမ်း,0101000020E610000054E23AC6150A58402618CE35CCE43040
673,10,48,ဂန္ဓာရုံ,ဗိုလ်မှူးဗထူးလမ်း,0101000020E6100000904DF2237E0A584003CDE7DCEDE23040
674,10,49,ခေမာ,ဗိုလ်မှူးဗထူးလမ်း,0101000020E610000023F433F5BA0A5840225514AFB2E23040
675,10,50,ဖြိုးစံပယ်,ဗိုလ်မှူးဗထူးလမ်း,0101000020E6100000A2427573F10A584057EC2FBB27E33040
676,10,51,ကျောင်းကွေ့,ဗိုလ်မှူးဗထူးလမ်း,0101000020E61000003FADA23F340B58406D1FF296ABE33040
677,10,52,ကျန်းမာရေး,ဗိုလ်မှူးဗထူးလမ်း,0101000020E6100000C6BFCFB8700B58400801F9122AE43040
678,10,53,(၄၄) လမ်းဆုံ,ဗိုလ်မှူးဗထူးလမ်း,0101000020E61000002AA8A8FA950B5840B70DA32078E43040
679,10,54,ကျောင်းလေးရှေ့,ဗိုလ်မှူးဗထူးလမ်း,0101000020E61000006D3CD862B70B5840BC783F6EBFE43040
680,10,55,ဗညားဒလ,ဗိုလ်မှူးဗထူးလမ်း,0101000020E6100000C6C4E6E3DA0B5840F0332E1C08E53040
681,10,56,ဗထူးဈေး,ဗိုလ်မှူးဗထူးလမ်း,0101000020E61000001555BFD2F90B5840575A46EA3DE53040
682,10,57,ကြားမှတ်တိုင်,ဗိုလ်မှူးဗထူးလမ်း,0101000020E61000009EB5DB2E340C5840B0E42A16BFE53040
683,10,58,(၄၆) လမ်းဆုံ,ဗိုလ်မှူးဗထူးလမ်း,0101000020E6100000AC70CB47520C5840BC74931804E63040
684,10,59,စိန်ပန်း,ဗိုလ်မှူးဗထူးလမ်း,0101000020E61000007F501729940C58405131CEDF84E63040
685,10,60,ဈေးလေး,ဗိုလ်မှူးဗထူးလမ်း,0101000020E6100000AE282504AB0C5840815D4D9EB2E63040
686,10,61,ဂိတ်ဟောင်း,ဗိုလ်မှူးဗထူးလမ်း,0101000020E6100000134548DDCE0C58403BC780ECF5E63040
687,10,62,မုခ်ဝ,ဗိုလ်မှူးဗထူးလမ်း,0101000020E610000003249A40110D5840F2CD3637A6E73040
688,10,63,အဝိုင်း,ဒဂုံတက္ကသိုလ်,0101000020E61000000D17B9A7AB0D58403B35971B0CE93040
689,10,64,အဝိုင်း,ဒဂုံတက္ကသိုလ်,0101000020E6100000F0E0270EA00D58400188BB7A15E93040
690,10,65,မုခ်ဝ,ဗိုလ်မှူးဗထူးလမ်း,0101000020E6100000161406651A0D5840ABE7A4F78DE73040
691,10,66,ဂိတ်ဟောင်း,ဗိုလ်မှူးဗထူးလမ်း,0101000020E610000008E57D1CCD0C58404700378B17E73040
692,10,67,ဈေးလေး,ဗိုလ်မှူးဗထူးလမ်း,0101000020E6100000B988EFC4AC0C584085ECBC8DCDE63040
693,10,68,စိန်ပန်း,ဗိုလ်မှူးဗထူးလမ်း,0101000020E610000081ECF5EE8F0C58401EC6A4BF97E63040
694,10,69,(၄၆) လမ်းဆုံ,ဗိုလ်မှူးဗထူးလမ်း,0101000020E6100000226DE34F540C5840271422E010E63040
695,10,70,ကြားမှတ်တိုင်,ဗိုလ်မှူးဗထူးလမ်း,0101000020E61000009ECF807A330C5840711C78B5DCE53040
696,10,71,ဗထူးဈေး,ဗိုလ်မှူးဗထူးလမ်း,0101000020E610000017D7F84CF60B58405BE9B5D958E53040
697,10,72,ဗညားဒလ,ဗိုလ်မှူးဗထူးလမ်း,0101000020E6100000C746205ED70B5840BDC804FC1AE53040
698,10,73,ကျောင်းလေးရှေ့,ဗိုလ်မှူးဗထူးလမ်း,0101000020E6100000791EDC9DB50B5840035FD1ADD7E43040
